Week,Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Player-additional,DepthChart
18,De'Von Achane,MIA,10,56,1,3,40,4.0,16,1.6,3,3.3,AchaDe00,RB1
18,Jeff Wilson,MIA,9,45,0,1,31,3.4,14,1.6,0,,WilsJe01,RB2
18,Tua Tagovailoa,MIA,1,7,0,1,7,7.0,0,0.0,0,,TagoTu00,QB1
17,Ezekiel Elliott,NWE,14,39,1,2,12,0.9,27,1.9,1,14.0,ElliEz00,RB1
17,Bailey Zappe,NWE,5,37,1,3,17,3.4,20,4.0,0,,ZappBa00,QB1
17,Demario Douglas,NWE,3,12,0,1,10,3.3,2,0.7,0,,DougDe00,WR1
17,Kevin Harris,NWE,2,15,0,1,1,0.5,14,7.0,0,,HarrKe01,RB2
16,Austin Ekeler,LAC,15,65,0,4,30,2.0,35,2.3,2,7.5,EkelAu00,RB1
16,Easton Stick,LAC,7,25,1,2,21,3.0,4,0.6,0,,SticEa00,QB1
16,Isaiah Spiller,LAC,2,1,0,,1,0.5,0,0.0,0,,SpilIs00,RB2
16,Derius Davis,LAC,1,8,0,,8,8.0,0,0.0,0,,DaviDe02,WR1
16,Quentin Johnston,LAC,1,1,0,0,1,1.0,0,0.0,0,,JohnQu02,WR2
16,Joshua Kelley,LAC,1,-2,0,,-2,-2.0,0,0.0,0,,KellJo01,RB3
15,Tony Pollard,DAL,11,52,0,3,32,2.9,20,1.8,0,,PollTo00,RB1
15,Dak Prescott,DAL,4,27,0,2,22,5.5,5,1.3,0,,PresDa01,QB1
15,Rico Dowdle,DAL,3,4,0,,0,0.0,4,1.3,0,,DowdRi01,RB2
15,CeeDee Lamb,DAL,1,3,1,1,0,0.0,3,3.0,1,1.0,LambCe00,WR1
15,Hunter Luepke,DAL,1,3,0,1,1,1.0,2,2.0,0,,LuepHu00,FB1
14,Clyde Edwards-Helaire,KAN,11,39,0,2,37,3.4,2,0.2,0,,EdwaCl00,RB2
14,Jerick McKinnon,KAN,4,19,1,2,19,4.8,0,0.0,0,,McKiJe00,RB3
14,Kadarius Toney,KAN,2,16,0,1,4,2.0,12,6.0,1,2.0,ToneKa00,WR2
14,Patrick Mahomes,KAN,1,8,0,1,8,8.0,0,0.0,0,,MahoPa00,QB1
