Week,Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Player-additional
18,Josh Allen,BUF,15,67,0,8,31,2.1,36,2.4,2,7.5,AlleJo02
18,James Cook,BUF,13,36,0,2,19,1.5,17,1.3,2,6.5,CookJa01
18,Leonard Fournette,BUF,7,20,0,1,10,1.4,10,1.4,0,,FourLe00
18,Ty Johnson,BUF,1,5,0,,3,3.0,2,2.0,0,,JohnTy02
17,James Cook,BUF,16,48,0,1,16,1.0,32,2.0,1,16.0,CookJa01
17,Josh Allen,BUF,11,44,2,7,8,0.7,36,3.3,0,,AlleJo02
17,Ty Johnson,BUF,5,22,0,,8,1.6,14,2.8,0,,JohnTy02
17,Kyle Allen,BUF,2,-2,0,,-2,-1.0,0,0.0,0,,AlleKy00
17,Stefon Diggs,BUF,1,5,0,1,3,3.0,2,2.0,0,,DiggSt00
17,Latavius Murray,BUF,1,0,0,,0,0.0,0,0.0,0,,MurrLa00
17,Khalil Shakir,BUF,1,10,0,1,10,10.0,0,0.0,0,,ShakKh00
16,James Cook,BUF,20,70,0,2,45,2.3,25,1.3,1,20.0,CookJa01
16,Josh Allen,BUF,5,15,2,2,10,2.0,5,1.0,1,5.0,AlleJo02
16,Leonard Fournette,BUF,5,20,0,1,10,2.0,10,2.0,0,,FourLe00
15,James Cook,BUF,25,179,1,9,107,4.3,72,2.9,1,25.0,CookJa01
15,Ty Johnson,BUF,9,54,0,4,34,3.8,20,2.2,0,,JohnTy02
15,Josh Allen,BUF,8,24,1,5,4,0.5,20,2.5,0,,AlleJo02
15,Latavius Murray,BUF,5,11,1,2,-1,-0.2,12,2.4,1,5.0,MurrLa00
15,Kyle Allen,BUF,2,-2,0,,-2,-1.0,0,0.0,0,,AlleKy00
14,Josh Allen,BUF,10,32,1,3,25,2.5,7,0.7,1,10.0,AlleJo02
14,James Cook,BUF,10,58,0,3,52,5.2,6,0.6,1,10.0,CookJa01
14,Ty Johnson,BUF,5,19,0,1,17,3.4,2,0.4,0,,JohnTy02
14,Latavius Murray,BUF,3,9,0,1,8,2.7,1,0.3,0,,MurrLa00
