Week,Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Player-additional,DepthChart
19,Kyren Williams,LAR,13,61,0,3,35,2.7,26,2.0,0,,WillKy02,RB1
19,Ronnie Rivers,LAR,3,9,0,1,2,0.7,7,2.3,1,3.0,RiveRo01,RB2
19,Puka Nacua,LAR,1,-2,0,0,-2,-2.0,0,0.0,0,,NacuPu00,WR1
18,Ty Chandler,MIN,12,69,0,3,27,2.3,42,3.5,2,6.0,ChanTy01,RB1
18,Alexander Mattison,MIN,7,24,0,1,7,1.0,17,2.4,0,,MattAl01,RB2
18,Nick Mullens,MIN,2,8,0,2,7,3.5,1,0.5,0,,MullNi00,QB1
18,Justin Jefferson,MIN,1,-12,0,0,-12,-12.0,0,0.0,0,,JeffJu00,WR1
17,Tony Pollard,DAL,16,49,0,4,11,0.7,38,2.4,3,5.3,PollTo00,RB1
17,Dak Prescott,DAL,2,5,0,0,2,1.0,3,1.5,0,,PresDa01,QB1
17,Deuce Vaughn,DAL,2,2,0,,0,0.0,2,1.0,0,,VaugDe00,RB3
17,CeeDee Lamb,DAL,1,5,0,0,4,4.0,1,1.0,0,,LambCe00,WR1
16,Ty Chandler,MIN,8,17,1,1,4,0.5,13,1.6,0,,ChanTy01,RB1
16,Alexander Mattison,MIN,2,-1,0,,-1,-0.5,0,0.0,0,,MattAl01,RB2
16,Nick Mullens,MIN,1,1,0,0,1,1.0,0,0.0,0,,MullNi00,QB1
15,Javonte Williams,DEN,12,27,0,1,10,0.8,17,1.4,0,,WillJa10,RB1
15,Russell Wilson,DEN,7,6,1,3,6,0.9,0,0.0,0,,WilsRu00,QB1
15,Samaje Perine,DEN,6,37,0,2,9,1.5,28,4.7,1,6.0,PeriSa00,RB2
15,Jaleel McLaughlin,DEN,2,2,0,,2,1.0,0,0.0,0,,McLaJa00,RB3
15,Marvin Mims,DEN,1,11,0,1,6,6.0,5,5.0,0,,MimsMa00,WR3
