Week,Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Player-additional,DepthChart
19,David Montgomery,DET,14,57,1,4,34,2.4,23,1.6,0,,MontDa01,RB1
19,Jahmyr Gibbs,DET,8,25,1,2,4,0.5,21,2.6,2,4.0,GibbJa01,RB2
19,Jared Goff,DET,3,-3,0,0,-3,-1.0,0,0.0,0,,GoffJa00,QB1
18,Jahmyr Gibbs,DET,13,30,1,2,4,0.3,26,2.0,1,13.0,GibbJa01,RB2
18,David Montgomery,DET,10,40,1,3,16,1.6,24,2.4,0,,MontDa01,RB1
17,Jahmyr Gibbs,DET,15,43,0,3,9,0.6,34,2.3,1,15.0,GibbJa01,RB2
17,David Montgomery,DET,14,65,1,3,30,2.1,35,2.5,1,14.0,MontDa01,RB1
17,Amon-Ra St. Brown,DET,1,11,0,1,8,8.0,3,3.0,0,,StxxAm00,WR1
17,Jameson Williams,DET,1,6,0,0,2,2.0,4,4.0,0,,WillJa11,WR2
16,David Montgomery,DET,17,55,1,5,15,0.9,40,2.4,0,,MontDa01,RB1
16,Jahmyr Gibbs,DET,15,80,2,3,23,1.5,57,3.8,5,3.0,GibbJa01,RB2
16,Jared Goff,DET,3,0,0,1,-1,-0.3,1,0.3,0,,GoffJa00,QB1
16,Kalif Raymond,DET,1,8,0,0,5,5.0,3,3.0,0,,RaymKa00,WR3
15,David Montgomery,DET,17,85,0,5,32,1.9,53,3.1,1,17.0,MontDa01,RB1
15,Jahmyr Gibbs,DET,11,100,1,5,44,4.0,56,5.1,3,3.7,GibbJa01,RB2
