Week,Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Player-additional,DepthChart
18,Najee Harris,PIT,26,112,1,6,82,3.2,30,1.2,2,13.0,HarrNa00,RB1
18,Jaylen Warren,PIT,9,33,0,1,31,3.4,2,0.2,2,4.5,WarrJa01,Rb2
18,Mason Rudolph,PIT,2,-1,0,0,-1,-0.5,0,0.0,0,,RudoMa00,QB1
18,Calvin Austin,PIT,1,8,0,,8,8.0,0,0.0,0,,AustCa00,WR1
18,George Pickens,PIT,1,3,0,1,0,0.0,3,3.0,1,1.0,PickGe00,WR2
17,Najee Harris,PIT,27,122,2,7,22,0.8,100,3.7,4,6.8,HarrNa00,QB1
17,Jaylen Warren,PIT,13,75,1,4,26,2.0,49,3.8,5,2.6,WarrJa01,QB2
17,Mason Rudolph,PIT,6,5,0,3,4,0.7,1,0.2,0,,RudoMa00,QB1
16,Najee Harris,PIT,19,78,1,5,32,1.7,46,2.4,0,,HarrNa00,RB1
16,Jaylen Warren,PIT,8,24,0,2,13,1.6,11,1.4,0,,WarrJa01,RB2
16,Mason Rudolph,PIT,2,4,0,1,2,1.0,2,1.0,0,,RudoMa00,QB1
16,Calvin Austin,PIT,1,7,1,1,7,7.0,0,0.0,0,,AustCa00,WR2
15,Najee Harris,PIT,12,33,0,1,16,1.3,17,1.4,1,12.0,HarrNa00,RB1
15,Jaylen Warren,PIT,10,40,0,1,23,2.3,17,1.7,0,,WarrJa01,RB2
15,Mitchell Trubisky,PIT,2,1,1,1,0,0.0,1,0.5,0,,TrubMi00,QB1
14,Najee Harris,PIT,12,29,0,0,5,0.4,24,2.0,2,6.0,HarrNa00,RB1
14,Mitchell Trubisky,PIT,8,30,1,4,21,2.6,9,1.1,1,8.0,TrubMi00,QB1
14,Jaylen Warren,PIT,7,11,0,0,2,0.3,9,1.3,0,,WarrJa01,RB2
14,Calvin Austin,PIT,1,12,0,1,9,9.0,3,3.0,0,,AustCa00,WR3
