Week,Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Player-additional
19,D'Andre Swift,PHI,10,34,0,2,16,1.6,18,1.8,0,,SwifDA00
19,Kenneth Gainwell,PHI,4,3,0,1,-3,-0.8,6,1.5,0,,GainKe00
19,Jalen Hurts,PHI,1,5,0,0,5,5.0,0,0.0,0,,HurtJa00
18,Chuba Hubbard,CAR,23,83,0,6,50,2.2,33,1.4,2,11.5,HubbCh01
18,Miles Sanders,CAR,3,18,0,1,14,4.7,4,1.3,0,,SandMi01
18,Bryce Young,CAR,2,24,0,1,24,12.0,0,0.0,0,,YounBr01
18,Raheem Blackshear,CAR,1,6,0,,4,4.0,2,2.0,0,,BlacRa00
17,Jamaal Williams,NOR,19,58,0,2,28,1.5,30,1.6,0,,WillJa06
17,Alvin Kamara,NOR,10,45,0,3,17,1.7,28,2.8,1,10.0,KamaAl00
17,Derek Carr,NOR,3,-3,0,0,-3,-1.0,0,0.0,0,,CarrDe02
17,Taysom Hill,NOR,2,1,0,0,0,0.0,1,0.5,0,,HillTa00
17,Adam Prentice,NOR,1,7,0,1,5,5.0,2,2.0,0,,PrenAd00
16,Travis Etienne,JAX,6,12,0,0,5,0.8,7,1.2,0,,EtieTr00
16,Trevor Lawrence,JAX,4,29,0,3,27,6.8,2,0.5,0,,LawrTr00
16,C.J. Beathard,JAX,1,6,0,1,6,6.0,0,0.0,0,,BeatC.00
16,D'Ernest Johnson,JAX,1,2,0,,0,0.0,2,2.0,0,,JohnDE04
16,Calvin Ridley,JAX,1,-12,0,0,-12,-12.0,0,0.0,0,,RidlCa00
15,Aaron Jones,GNB,13,53,0,2,39,3.0,14,1.1,0,,JoneAa00
15,Jordan Love,GNB,2,1,0,1,0,0.0,1,0.5,0,,LoveJo03
15,Kenyan Drake,GNB,1,0,0,,0,0.0,0,0.0,0,,DrakKe00
15,Patrick Taylor,GNB,1,6,0,1,6,6.0,0,0.0,0,,TaylPa01
14,Bijan Robinson,ATL,10,34,1,2,22,2.2,12,1.2,0,,RobiBi01
14,Tyler Allgeier,ATL,9,40,0,2,17,1.9,23,2.6,0,,AllgTy00
14,Desmond Ridder,ATL,4,15,1,2,7,1.8,8,2.0,1,4.0,RiddDe00
14,Cordarrelle Patterson,ATL,3,7,0,,2,0.7,5,1.7,0,,PattCo00
