Week,Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Player-additional
19,Rachaad White,TAM,18,72,0,6,32,1.8,40,2.2,0,,WhitRa01
19,Chase Edmonds,TAM,7,12,0,1,-1,-0.1,13,1.9,0,,EdmoCh00
19,Baker Mayfield,TAM,2,16,0,1,16,8.0,0,0.0,0,,MayfBa00
19,Trey Palmer,TAM,1,9,0,0,4,4.0,5,5.0,0,,PalmTr00
19,Deven Thompkins,TAM,1,10,0,1,4,4.0,6,6.0,1,1.0,ThomDe07
18,Rachaad White,TAM,19,75,0,4,42,2.2,33,1.7,1,19.0,WhitRa01
18,Baker Mayfield,TAM,5,7,0,2,7,1.4,0,0.0,1,5.0,MayfBa00
18,Chase Edmonds,TAM,4,27,0,1,5,1.3,22,5.5,0,,EdmoCh00
18,Chris Godwin,TAM,1,4,0,1,2,2.0,2,2.0,0,,GodwCh00
17,Rachaad White,TAM,11,42,0,,36,3.3,6,0.5,0,,WhitRa01
17,Chase Edmonds,TAM,3,16,0,1,16,5.3,0,0.0,0,,EdmoCh00
17,Baker Mayfield,TAM,1,-1,0,0,-1,-1.0,0,0.0,0,,MayfBa00
16,Rachaad White,TAM,20,39,1,3,10,0.5,29,1.5,1,20.0,WhitRa01
16,Chase Edmonds,TAM,10,25,0,,13,1.3,12,1.2,1,10.0,EdmoCh00
16,Baker Mayfield,TAM,5,5,0,1,3,0.6,2,0.4,1,5.0,MayfBa00
16,Chris Godwin,TAM,1,1,0,0,0,0.0,1,1.0,0,,GodwCh00
15,Rachaad White,TAM,21,89,0,3,38,1.8,51,2.4,0,,WhitRa01
15,Chase Edmonds,TAM,3,13,0,,11,3.7,2,0.7,0,,EdmoCh00
15,Baker Mayfield,TAM,2,-2,0,0,-2,-1.0,0,0.0,0,,MayfBa00
15,Deven Thompkins,TAM,1,-1,0,,-1,-1.0,0,0.0,0,,ThomDe07
14,Rachaad White,TAM,25,102,0,5,55,2.2,47,1.9,0,,WhitRa01
14,Chase Edmonds,TAM,8,40,0,1,23,2.9,17,2.1,0,,EdmoCh00
14,Baker Mayfield,TAM,3,3,1,1,2,0.7,1,0.3,1,3.0,MayfBa00
14,Trey Palmer,TAM,1,3,0,,3,3.0,0,0.0,0,,PalmTr00
